LOT ID :,K12Y077.1
RECEIPE :,"AB,ÒÀSLOT½â°ü×°¡ý"
STARTTIME :,2018-07-02 00:53:50
ENDTIME :,2018-07-02 01:02:30
COUNT :,23
Port-A,8(S),START,END,Port-B,8(S),START,END,Port-C,8(L),START,END
25,"WAFER EXIST","2018-07-02 00:48:16","2018-07-02 00:48:35",25,"","","",25,"","",""
24,"","","",24,"","","",24,"","",""
23,"WAFER EXIST","2018-07-02 00:48:37","2018-07-02 00:48:55",23,"WAFER EXIST","2018-07-02 00:58:20","2018-07-02 00:58:39",23,"","",""
22,"","","",22,"","","",22,"","",""
21,"WAFER EXIST","2018-07-02 00:54:12","2018-07-02 00:54:31",21,"WAFER EXIST","2018-07-02 00:58:40","2018-07-02 00:58:59",21,"","",""
20,"","","",20,"","","",20,"","",""
19,"WAFER EXIST","2018-07-02 00:54:33","2018-07-02 00:54:51",19,"WAFER EXIST","2018-07-02 00:59:01","2018-07-02 00:59:19",19,"","",""
18,"","","",18,"","","",18,"","",""
17,"WAFER EXIST","2018-07-02 00:54:53","2018-07-02 00:55:11",17,"WAFER EXIST","2018-07-02 00:59:22","2018-07-02 00:59:40",17,"","",""
16,"","","",16,"","","",16,"","",""
15,"WAFER EXIST","2018-07-02 00:55:13","2018-07-02 00:55:31",15,"WAFER EXIST","2018-07-02 00:59:42","2018-07-02 01:00:01",15,"","",""
14,"","","",14,"","","",14,"","",""
13,"WAFER EXIST","2018-07-02 00:55:33","2018-07-02 00:55:52",13,"WAFER EXIST","2018-07-02 01:00:02","2018-07-02 01:00:21",13,"","",""
12,"","","",12,"","","",12,"","",""
11,"WAFER EXIST","2018-07-02 00:55:54","2018-07-02 00:56:12",11,"WAFER EXIST","2018-07-02 01:00:23","2018-07-02 01:00:42",11,"","",""
10,"","","",10,"","","",10,"","",""
09,"WAFER EXIST","2018-07-02 00:56:14","2018-07-02 00:56:33",09,"WAFER EXIST","2018-07-02 01:00:44","2018-07-02 01:01:02",09,"","",""
08,"","","",08,"","","",08,"","",""
07,"WAFER EXIST","2018-07-02 00:56:35","2018-07-02 00:56:53",07,"WAFER EXIST","2018-07-02 01:01:04","2018-07-02 01:01:23",07,"","",""
06,"","","",06,"","","",06,"","",""
05,"WAFER EXIST","2018-07-02 00:56:56","2018-07-02 00:57:14",05,"WAFER EXIST","2018-07-02 01:01:24","2018-07-02 01:01:43",05,"","",""
04,"","","",04,"","","",04,"","",""
03,"WAFER EXIST","2018-07-02 00:57:16","2018-07-02 00:57:34",03,"WAFER EXIST","2018-07-02 01:01:45","2018-07-02 01:02:04",03,"","",""
02,"","","",02,"","","",02,"","",""
01,"WAFER EXIST","2018-07-02 00:57:36","2018-07-02 00:57:54",01,"WAFER EXIST","2018-07-02 01:02:06","2018-07-02 01:02:25",01,"","",""
